2019,AL 101,武蔵野BASIS,英語資格・検定試験対策A,1年,1
2019,AL 102,武蔵野BASIS,英語資格・検定試験対策B,1年,1
2019,JL 101,武蔵野BASIS,⽇本語リテラシー,1年,1
2019,SD 101,武蔵野BASIS,基礎セルフディベロップメント,1年,6
2019,SD 201,武蔵野BASIS,芸術のすすめ,2年,2
2019,SD 202,武蔵野BASIS,数学的ものの考え⽅,2年,2
2019,SD 203,武蔵野BASIS,社会現象を分析する,2年,2
2019,SD 204,武蔵野BASIS,環境学への展望,2年,2
2019,SD 205,武蔵野BASIS,⼈間の⼼理を探る,2年,2
2019,SD 206,武蔵野BASIS,⽣命科学と⼈間,2年,2
2019,SD 207,武蔵野BASIS,市⺠の社会貢献,2年,2
2019,SD 208,武蔵野BASIS,市⺠⽣活と権利を考える,2年,2
2019,SD 209,武蔵野BASIS,現代メディアの探求,2年,2
2019,SD 210,武蔵野BASIS,社会情報と⽣活,2年,2
2019,SD 211,武蔵野BASIS,⽇本の歴史,2年,2
2019,SD 212,武蔵野BASIS,外国の歴史,2年,2
2019,SD 213,武蔵野BASIS,哲学への探索,2年,2
2019,SD 214,武蔵野BASIS,⽂化⼈類学への誘い,2年,2
2019,SD 215,武蔵野BASIS,⽂学を読み解く楽しみ,2年,2
2019,LAS 101,武蔵野BASIS,全学教養ゼミナール１,1年,2
2019,LAS 102,武蔵野BASIS,全学教養ゼミナール２,1年,2
2019,SD 221,武蔵野BASIS,ホスピタリティマインド概論,2年,2
2019,SD 222,武蔵野BASIS,ホスピタリティマインド各論,2年,2
2019,SD 231,武蔵野BASIS,プレゼンテーション,2年,2
2019,FW 101,武蔵野BASIS,フィールド・スタディーズ,1年,1
2019,FW 111,武蔵野BASIS,フィールド・スタディーズ１,1年,1
2019,FW 112,武蔵野BASIS,フィールド・スタディーズ２,1年,2
2019,FW 113,武蔵野BASIS,フィールド・スタディーズ３,1年,3
2019,FW 114,武蔵野BASIS,フィールド・スタディーズ４,1年,4
2019,FW 121,武蔵野BASIS,海外フィールド・スタディーズ１,1年,2
2019,FW 122,武蔵野BASIS,海外フィールド・スタディーズ２,1年,3
2019,FW 123,武蔵野BASIS,海外フィールド・スタディーズ３,1年,4
2019,FW 124,武蔵野BASIS,海外フィールド・スタディーズ４,1年,5
2019,FW 125,武蔵野BASIS,海外フィールド・スタディーズ５,1年,6
2019,AFS 101,武蔵野BASIS,フィールド・スタディーズ発展１Ａ,1年,1
2019,AFS 102,武蔵野BASIS,フィールド・スタディーズ発展１Ｂ,1年,2
2019,AFS 103,武蔵野BASIS,フィールド・スタディーズ発展１Ｃ,1年,3
2019,AFS 104,武蔵野BASIS,フィールド・スタディーズ発展１Ｄ,1年,4
2019,AFS 201,武蔵野BASIS,フィールド・スタディーズ発展２Ａ,2年,1
2019,AFS 202,武蔵野BASIS,フィールド・スタディーズ発展２Ｂ,2年,2
2019,AFS 203,武蔵野BASIS,フィールド・スタディーズ発展２Ｃ,2年,3
2019,AFS 204,武蔵野BASIS,フィールド・スタディーズ発展２Ｄ,2年,4
2019,AFS 205,武蔵野BASIS,フィールド・スタディーズ発展２Ｅ,2年,5
2019,AFS 301,武蔵野BASIS,フィールド・スタディーズ発展３Ａ,3年,1
2019,AFS 302,武蔵野BASIS,フィールド・スタディーズ発展３Ｂ,3年,2
2019,AFS 303,武蔵野BASIS,フィールド・スタディーズ発展３Ｃ,3年,3
2019,AFS 304,武蔵野BASIS,フィールド・スタディーズ発展３Ｄ,3年,4
2019,AFS 305,武蔵野BASIS,フィールド・スタディーズ発展３Ｅ,3年,5
2019,AFS 401,武蔵野BASIS,フィールド・スタディーズ発展４Ａ,4年,1
2019,AFS 402,武蔵野BASIS,フィールド・スタディーズ発展４Ｂ,4年,2
2019,AFS 403,武蔵野BASIS,フィールド・スタディーズ発展４Ｃ,4年,3
2019,AFS 404,武蔵野BASIS,フィールド・スタディーズ発展４Ｄ,4年,4
2019,INT 201,武蔵野BASIS,インターンシップ（事前研究）,2年,1
2019,INT 211,武蔵野BASIS,インターンシップ１,2年,1
2019,INT 212,武蔵野BASIS,インターンシップ２,2年,2
2019,INT 213,武蔵野BASIS,インターンシップ３,2年,4
2019,INT 214,武蔵野BASIS,インターンシップ４,2年,6
2019,INT 221,武蔵野BASIS,海外インターンシップ１,2年,4
2019,INT 222,武蔵野BASIS,海外インターンシップ２,2年,6
2019,INT 223,武蔵野BASIS,海外インターンシップ３,2年,8
2019,SUBM 201,武蔵野BASIS,サブ・メジャー（ゼミナール）１,2年,2
2019,SUBM 202,武蔵野BASIS,サブ・メジャー（ゼミナール）２,2年,4
2019,SUBM 311,武蔵野BASIS,サブ・メジャー（総合研究）１,3年,2
2019,SUBM 312,武蔵野BASIS,サブ・メジャー（総合研究）２,3年,4
2019,EC 101,武蔵野BASIS,寄付講座1,1･2･3･4年,2
2019,EC 201,武蔵野BASIS,資⾦計画論,2年,2
2019,EC 202,武蔵野BASIS,証券ビジネス論,2年,2
2019,EC 203,武蔵野BASIS,経済教育論,2年,2
2019,EC 204,武蔵野BASIS,⾦融リテラシー(⾦融と⼈⽣設計),2年,2
2019,EC 205,武蔵野BASIS,未来型都市とメディア,2年,2
2019,DS 101,学科,データサイエンス学,1年,2
2019,INFO 141,学科,⼈類と⼈⼯知能(AI),1年,2
2019,CS 101,学科,メディアクリエーション・データデザイン演習Ⅰ,1年,1
2019,CS 102,学科,メディアクリエーション・データデザイン演習Ⅱ,1年,1
2019,INFO 101,学科,データサイエンスプログラミング演習Ⅰ,1年,1
2019,INFO 102,学科,データサイエンスプログラミング演習Ⅱ,1年,1
2019,INFO 211,学科,データと数理Ⅰ,2年,2
2019,INFO 212,学科,データと数理Ⅱ,2年,2
2019,ECO 201,学科,データと経済統計,2年,2
2019,ECO 202,学科,データと計量経済学,2年,2
2019,CS 111,学科,ソーシャルイノベーションの起こし⽅,1年,2
2019,ES 201,学科,グリーンエコノミー基礎,2年,2
2019,INFO 205,学科,サイバーフィジカルシステム,2年,2
2019,INFO 121,学科,機械学習と深層学習,1年,2
2019,INFO 206,学科,Webテクノロジ,2年,2
2019,INFO 221,学科,複合現実,2年,2
2019,CS 211,学科,マーケティングデータ分析,2年,2
2019,INFO 201,学科,機械学習デザイン演習Ⅰ,2年,1
2019,INFO 202,学科,機械学習デザイン演習Ⅱ,2年,1
2019,INFO 203,学科,⼈⼯知能(AI)デザイン演習Ⅰ,2年,1
2019,INFO 204,学科,⼈⼯知能(AI)デザイン演習Ⅱ,2年,1
2019,DS 301,学科,データサイエンス特論,3年,2
2019,ECO 301,学科,情報経済特論,3年,2
2019,INFO 323,学科,データマイニング,3年,2
2019,INFO 241,学科,⼈⼯知能(AI)テクノロジ,2年,2
2019,INFO 301,学科,マルチメディア知識ベース,3年,2
2019,INFO 343,学科,⼈⼯知能(AI)・⼈間協調進化システム,3年,2
2019,INFO 345,学科,⼈⼯知能(AI)ゲームクリエーション,3年,2
2019,INFO 324,学科,ロボティクス・IoT,3年,2
2019,INFO 346,学科,サイバーセキュリティと⼈⼯知能(AI),3年,2
2019,INFO 222,学科,機械学習アルゴリズムデザイン,2年,2
2019,INFO 302,学科,データベースデザイン,3年,2
2019,INFO 321,学科,画像・⾳声認識システム,3年,2
2019,INFO 322,学科,テキストマイニング,3年,2
2019,INFO 303,学科,時空間データベース,3年,2
2019,ES 303,学科,リアルワールド解析シミュレータ,3年,2
2019,CS 311,学科,マーケティング・オートメーション,3年,2
2019,INFO 341,学科,⼈⼯知能(AI)社会の情報倫理,3年,2
2019,ES 301,学科,社会・環境・ビジネスデザイン,3年,2
2019,SS 311,学科,グローバル・ビジネス・ガバナンス,3年,2
2019,CS 312,学科,ビジネスモデル創出,3年,2
2019,ES 302,学科,社会・環境・ビジネスフィールドワーク,3年,2
2019,INFO 342,学科,専⾨コース演習Ⅰ(⼈⼯知能(AI)クリエーション),3年,1
2019,INFO 344,学科,専⾨コース演習Ⅱ(⼈⼯知能(AI)アルゴリズムデザイン),3年,1
2019,CS 313,学科,専⾨コース演習Ⅲ(ソーシャルイノベーション),3年,1
2019,SS 201,学科,社会連携活動概論,2年,1
2019,SS 202,学科,データサイエンス社会実践学習(短期）,2・3年,1
2019,SS 203,学科,データサイエンス社会実践学習(中期),2・3年,2
2019,SS 204,学科,データサイエンス社会実践学習(⻑期),2・3年,3
2019,SS 205,学科,データサイエンス社会実践学習(海外),2・3年,4
2019,DS 102,学科,未来創造PJ-AⅠ,1年,4
2019,DS 103,学科,未来創造PJ-BⅠ,1年,2
2019,DS 201,学科,未来創造PJ-AⅡ,2年,4
2019,DS 202,学科,未来創造PJ-BⅡ,2年,2
2019,DS 203,学科,未来創造PJ-AⅢ,2年,4
2019,DS 204,学科,未来創造PJ-BⅢ,2年,2
2019,DS 302,学科,未来創造PJ-AⅣ,3年,4
2019,DS 303,学科,未来創造PJ-BⅣ,3年,2
2019,DS 304,学科,卒業論⽂創成課題,3年,2
2019,DS 401,学科,卒業論⽂Ⅰ,4年,4
2019,DS 402,学科,卒業論⽂Ⅱ,4年,4
